Date,KO_close,PEP_close,ko_return,pep_return,spread,spread_mean,spread_std,spread_zscore,position,position_change,strategy_return,cumulative_return,rolling_peak,drawdown
2016-04-11,34.179603576660156,77.02063751220703,-0.00921679231036292,-0.007450839874990504,6.960755053651663,7.213962633330989,0.21814651695358553,-1.1607225419656824,0.0,0.0,-0.0,0.0,1.0,0.0
2016-04-12,34.33416748046875,77.4710922241211,0.00451191530208707,0.005831457634552901,6.956129693827883,7.20842378513818,0.22341947121642586,-1.1292394970620108,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-13,33.885215759277344,76.8876953125,-0.013162188848337758,-0.007559008447822,6.713348587151174,7.199110253632168,0.2402206546400471,-2.0221477924488718,1.0,1.0,-0.0,0.0,1.0,0.0
2016-04-14,33.73065185546875,76.17879486083984,-0.004571831390498715,-0.009262713469969396,6.809307850053216,7.197411740108707,0.24297335822297803,-1.597310474259184,1.0,0.0,-0.0012984178873818564,-0.0012984178873818308,1.0,-0.0012984178873818308
2016-04-15,33.92936325073242,76.62923431396484,0.005873837488190629,0.005895511645811099,6.848835374092076,7.184764123239025,0.25452197580257674,-1.319841825397098,1.0,0.0,0.0037903824086668847,0.0024870430209655847,1.0024870430209656,0.0
2016-04-18,34.01769256591797,76.59233093261719,0.002599946793300433,-0.00048169958323869604,6.950206226965875,7.175872280386386,0.2596623435186174,-0.8690750085767871,1.0,0.0,0.0027701778951618318,0.005264110467728456,1.0052641104677285,0.0
2016-04-19,34.29737091064453,77.03541564941406,0.008187942542026904,0.00576830624975585,7.073299840912419,7.173821167161277,0.26033527574844567,-0.3861225719790221,0.0,-1.0,0.00614944144520667,0.011445923252017431,1.0114459232520174,0.0
2016-04-20,32.656097412109375,75.64712524414062,-0.04903711235828755,-0.01818582083705263,5.922643759573983,7.110446219615696,0.38200065397668176,-3.1094252003930314,1.0,1.0,-0.0,0.011445923252017431,1.0114459232520174,0.0
2016-04-21,32.133541107177734,74.57634735107422,-0.01613121012192736,-0.014256041475319505,5.778496959089008,7.041857873962466,0.4840063971471899,-2.610215324259983,1.0,0.0,-0.011093170370660065,0.00022578130467332258,1.0114459232520174,-0.011093170370659933
2016-04-22,32.781219482421875,75.30741882324219,0.019955395731504053,0.009755256203147983,6.167816999435196,6.986622636109161,0.5181294621155559,-1.5803109001575175,1.0,0.0,0.01650791919179688,0.016737427676002836,1.0167374276760028,0.0
2016-04-25,32.906333923339844,75.91294860839844,0.003809385057897927,0.008008617250315828,6.0789391386700515,6.922762763684853,0.5480343706141675,-1.5397275613738435,1.0,0.0,0.0009791651732527144,0.017732981555525607,1.0177329815555256,0.0
2016-04-26,32.77385711669922,75.76525115966797,-0.0040340012473849,-0.0019475111866906775,5.998658141024027,6.83495425193082,0.5483910068572967,-1.524999681704145,1.0,0.0,-0.003345756983255086,0.01432789432539705,1.0177329815555256,-0.0033457569832552325
2016-04-27,32.8842658996582,75.78742980957031,0.003363144785560481,0.00029268568419674363,6.101229059591908,6.765817294821263,0.5494234492744389,-1.2096102489018272,1.0,0.0,0.0032597105949288903,0.017634309709261276,1.0177329815555256,-9.695258781283744e-05
2016-04-28,32.84746551513672,76.03849029541016,-0.001119714560207324,0.0033072180889980583,5.975704697252084,6.694656791096149,0.5552451123683574,-1.2948373210840654,1.0,0.0,-0.0022884749224248487,0.015305479111292541,1.0177329815555256,-0.0023852056366718832
2016-04-29,32.97257614135742,76.03113555908203,0.003801601267598478,-9.672853855632989e-05,6.103414463917581,6.6306525944621395,0.5453525923469982,-0.9667839448154425,1.0,0.0,0.003835784825718202,0.019199972461536152,1.0191999724615362,0.0
2016-05-02,33.10504913330078,76.37815856933594,0.0040096225878025445,0.004553837899920899,6.113250626886337,6.56545399759167,0.5238910537377222,-0.8631629944414388,1.0,0.0,0.00240031074619857,0.021646369107960695,1.0216463691079607,0.0
2016-05-03,33.002017974853516,76.47418975830078,-0.003117102191279562,0.001256522423769362,5.976282351448781,6.4972605084782655,0.5062105800062823,-1.0291727941028403,1.0,0.0,-0.0035611532225751836,0.018008129848279708,1.0216463691079607,-0.0035611532225751086
2016-05-04,33.10504913330078,76.81385803222656,0.0031171021912795227,0.004431771879964889,5.959275821366241,6.432291379128353,0.4863405175465656,-0.972601584067736,1.0,0.0,0.001550928093198673,0.01958698725596597,1.0216463691079607,-0.002015748221953606
2016-05-05,33.1639404296875,76.95418548583984,0.001777341476848526,0.0018251840806289778,5.968575841610715,6.37649236974312,0.4713545552322693,-0.8654133573216377,1.0,0.0,0.0011323272232418486,0.02074149335809894,1.0216463691079607,-0.0008857034852988166
2016-05-06,33.355289459228516,77.5080337524414,0.0057532102417768485,0.007171341224360043,5.964196653880489,6.321018357020035,0.4497778031973151,-0.7933288406031253,1.0,0.0,0.0032188810438170726,0.024027138801707038,1.024027138801707,0.0
2016-05-09,33.296424865722656,77.74432373046875,-0.0017663344268493571,0.0030439494034896295,5.821827933076126,6.264072000991258,0.4364191407455187,-1.0133470937128548,1.0,0.0,-0.002842056472283672,0.02111679584408166,1.024027138801707,-0.0028420564722835273
2016-05-10,33.67177963256836,78.6969223022461,0.011210057083293293,0.012178506240623681,5.860537392041429,6.209292385901936,0.4131172808876009,-0.8442033533702359,1.0,0.0,0.006906211681500658,0.028168844587716624,1.0281688445877166,0.0
2016-05-11,33.45833206176758,78.06924438476562,-0.006359241321975414,-0.00800786655621189,5.8689092024997365,6.167070416669364,0.40188935577364904,-0.7418987586661956,1.0,0.0,-0.0035292867302408057,0.024540141928066195,1.0281688445877166,-0.003529286730240777
2016-05-12,33.73065185546875,78.34986877441406,0.008106128980831727,0.0035881125401713903,6.042057228731547,6.128707885603281,0.372933727139286,-0.2323486736810228,0.0,-1.0,0.006838101412260207,0.03154605131950183,1.0315460513195018,0.0
2016-05-13,33.37738037109375,76.93199920654297,-0.010528538417731896,-0.018262389457359737,6.189856343611847,6.095758934079269,0.33292599130413686,0.2826376191416598,0.0,0.0,-0.0,0.03154605131950183,1.0315460513195018,0.0
2016-05-16,33.57609176635742,76.89509582519531,0.00593582296389551,-0.00047980340586953926,6.4016092765637715,6.068329086559165,0.27666918522498807,1.2046162268977756,0.0,0.0,0.0,0.03154605131950183,1.0315460513195018,0.0
