Date,KO_close,PEP_close
2016-03-14,33.333221435546875,74.32527160644531
2016-03-15,33.296424865722656,74.69451904296875
2016-03-16,33.15657424926758,74.45821380615234
2016-03-17,33.68648910522461,75.22620391845703
2016-03-18,33.56138229370117,74.79789733886719
2016-03-21,33.61289596557617,74.98249053955078
2016-03-22,33.48777389526367,74.41388702392578
2016-03-23,33.45833206176758,74.44342041015625
2016-03-24,33.546669006347656,74.3474349975586
2016-03-28,33.70857620239258,74.56897735595703
2016-03-29,34.209041595458984,74.85696411132812
2016-03-30,34.28265380859375,75.83171081542969
2016-03-31,34.1428108215332,75.67667388916016
2016-04-01,34.466644287109375,76.63664245605469
2016-04-04,34.51081085205078,76.66619110107422
2016-04-05,34.24584197998047,76.1344985961914
2016-04-06,34.37833786010742,76.74002075195312
2016-04-07,34.120731353759766,76.50373077392578
2016-04-08,34.49608612060547,77.59664916992188
2016-04-11,34.179603576660156,77.02063751220703
2016-04-12,34.33416748046875,77.4710922241211
2016-04-13,33.885215759277344,76.8876953125
2016-04-14,33.73065185546875,76.17879486083984
2016-04-15,33.92936325073242,76.62923431396484
2016-04-18,34.01769256591797,76.59233093261719
2016-04-19,34.29737091064453,77.03541564941406
2016-04-20,32.656097412109375,75.64712524414062
2016-04-21,32.133541107177734,74.57634735107422
2016-04-22,32.781219482421875,75.30741882324219
2016-04-25,32.906333923339844,75.91294860839844
2016-04-26,32.77385711669922,75.76525115966797
2016-04-27,32.8842658996582,75.78742980957031
2016-04-28,32.84746551513672,76.03849029541016
2016-04-29,32.97257614135742,76.03113555908203
2016-05-02,33.10504913330078,76.37815856933594
2016-05-03,33.002017974853516,76.47418975830078
2016-05-04,33.10504913330078,76.81385803222656
2016-05-05,33.1639404296875,76.95418548583984
2016-05-06,33.355289459228516,77.5080337524414
2016-05-09,33.296424865722656,77.74432373046875
2016-05-10,33.67177963256836,78.6969223022461
2016-05-11,33.45833206176758,78.06924438476562
2016-05-12,33.73065185546875,78.34986877441406
2016-05-13,33.37738037109375,76.93199920654297
2016-05-16,33.57609176635742,76.89509582519531
2016-05-17,32.9357795715332,75.59542083740234
2016-05-18,32.737064361572266,74.51727294921875
2016-05-19,32.61929702758789,74.82743072509766
2016-05-20,32.346981048583984,73.91912078857422
2016-05-23,32.3617057800293,74.1554183959961
2016-05-24,32.656097412109375,74.65018463134766
2016-05-25,32.66345977783203,74.65018463134766
2016-05-26,32.89161682128906,75.24834442138672
2016-05-27,32.957862854003906,75.29265594482422
2016-05-31,32.825382232666016,74.70930480957031
2016-06-01,32.89897918701172,75.56708526611328
2016-06-02,32.91370391845703,75.88701629638672
2016-06-03,33.14922332763672,76.28131866455078
2016-06-06,33.39209747314453,76.40782928466797
2016-06-07,33.355289459228516,76.2515640258789
2016-06-08,33.524574279785156,76.76493835449219
2016-06-09,33.67912673950195,77.12202453613281
2016-06-10,33.848419189453125,76.86165618896484
2016-06-13,33.46275329589844,76.67562103271484
2016-06-14,33.40342330932617,76.80213165283203
2016-06-15,33.381187438964844,76.5268325805664
2016-06-16,33.603660583496094,77.26339721679688
2016-06-17,33.218017578125,76.93605041503906
2016-06-20,33.358917236328125,76.9062728881836
2016-06-21,33.470184326171875,77.43450164794922
2016-06-22,33.269927978515625,77.1815414428711
2016-06-23,33.4330940246582,77.70233154296875
2016-06-24,32.580204010009766,75.87212371826172
2016-06-27,32.468955993652344,75.98375701904297
2016-06-28,32.765621185302734,75.99117279052734
2016-06-29,32.95844650268555,76.72030639648438
2016-06-30,33.618507385253906,78.81834411621094
2016-07-01,33.46275329589844,78.58769989013672
2016-07-05,33.692665100097656,79.17545318603516
2016-07-06,33.573997497558594,78.803466796875
2016-07-07,33.44050598144531,79.97154235839844
2016-07-08,33.65558624267578,80.55183410644531
2016-07-11,33.79649353027344,81.02799224853516
2016-07-12,33.803932189941406,80.938720703125
2016-07-13,33.922576904296875,81.77197265625
2016-07-14,33.8854866027832,81.80915069580078
2016-07-15,33.84099578857422,81.58598327636719
2016-07-18,33.84099578857422,81.25117492675781
2016-07-19,33.84099578857422,81.48925018310547
2016-07-20,33.751991271972656,81.03541564941406
2016-07-21,33.70750045776367,80.7824478149414
2016-07-22,33.989322662353516,81.23632049560547
2016-07-25,33.79649353027344,81.10980987548828
2016-07-26,33.28476333618164,80.49974060058594
2016-07-27,32.1871452331543,79.9640884399414
2016-07-28,32.37255096435547,80.44764709472656
2016-07-29,32.357723236083984,81.03541564941406
2016-08-01,32.22422790527344,81.0428466796875
2016-08-02,32.28355026245117,80.88662719726562
2016-08-03,32.36513137817383,80.38070678710938
2016-08-04,32.26872253417969,80.66340637207031
2016-08-05,32.24646759033203,80.84200286865234
2016-08-08,32.216800689697266,80.45512390136719
2016-08-09,32.23905944824219,80.55927276611328
2016-08-10,32.3428840637207,80.96104431152344
2016-08-11,32.44671630859375,80.70807647705078
2016-08-12,32.654380798339844,80.7898941040039
2016-08-15,32.810123443603516,80.88662719726562
2016-08-16,32.50605392456055,80.3509521484375
2016-08-17,32.67662811279297,80.70061492919922
2016-08-18,32.70629119873047,80.55927276611328
2016-08-19,32.572792053222656,80.47743225097656
2016-08-22,32.43929672241211,80.32118225097656
2016-08-23,32.5208740234375,80.26165771484375
2016-08-24,32.5208740234375,80.43280792236328
2016-08-25,32.38737487792969,80.26165771484375
2016-08-26,32.127811431884766,79.9417495727539
2016-08-29,32.29097366333008,80.3435287475586
2016-08-30,32.06847381591797,79.76318359375
2016-08-31,32.20938491821289,79.98273468017578
2016-09-01,32.15007019042969,80.3873291015625
2016-09-02,32.37995910644531,80.82189178466797
2016-09-06,32.47638702392578,80.8593521118164
2016-09-07,32.36513137817383,80.32736206054688
2016-09-08,32.357723236083984,80.08013916015625
2016-09-09,31.349082946777344,77.95975494384766
2016-09-12,32.03138732910156,79.43578338623047
2016-09-13,31.61268424987793,78.36434936523438
2016-09-14,31.485572814941406,78.70899963378906
2016-09-15,31.672489166259766,79.03120422363281
2016-09-16,31.50799560546875,78.88134002685547
2016-09-19,31.47808837890625,79.17353820800781
2016-09-20,31.657543182373047,79.64557647705078
2016-09-21,31.79960823059082,80.2674560546875
2016-09-22,32.12112045288086,80.7844467163086
2016-09-23,31.956626892089844,80.42481231689453
2016-09-26,31.440715789794922,80.1925048828125
2016-09-27,31.8444766998291,80.53718566894531
2016-09-28,31.515478134155273,80.45475006103516
2016-09-29,31.42576026916504,80.7394790649414
2016-09-30,31.642593383789062,81.4962158203125
2016-10-03,31.42576026916504,81.1065902709961
2016-10-04,31.28369140625,80.2449722290039
2016-10-05,31.261268615722656,79.42828369140625
2016-10-06,31.186485290527344,79.72049713134766
2016-10-07,31.201452255249023,79.41329956054688
2016-10-10,31.201452255249023,79.58562469482422
2016-10-11,31.059385299682617,79.0986328125
2016-10-12,31.238828659057617,79.4807357788086
2016-10-13,31.223888397216797,79.3608627319336
2016-10-14,31.156578063964844,80.04267883300781
2016-10-17,31.104248046875,80.05767822265625
2016-10-18,31.380901336669922,80.1325912475586
2016-10-19,31.440715789794922,79.61558532714844
2016-10-20,31.35098648071289,79.32339477539062
2016-10-21,31.50052833557129,79.1360855102539
2016-10-24,31.822038650512695,80.40232849121094
2016-10-25,31.80709457397461,80.3423843383789
2016-10-26,31.732311248779297,80.22248840332031
2016-10-27,31.49304962158203,79.89281463623047
2016-10-28,31.575302124023438,80.22248840332031
2016-10-31,31.70241355895996,80.31990814208984
2016-11-01,31.49304962158203,79.9527587890625
2016-11-02,31.440715789794922,79.9527587890625
2016-11-03,31.42576026916504,79.89281463623047
2016-11-04,31.17153549194336,79.2784194946289
2016-11-07,31.747268676757812,80.14009094238281
2016-11-08,32.06130599975586,81.45877838134766
2016-11-09,31.60520362854004,80.35736846923828
2016-11-10,30.610767364501953,77.36034393310547
2016-11-11,30.678058624267578,77.31539154052734
2016-11-14,30.782745361328125,75.96672821044922
2016-11-15,30.98461151123047,76.31138610839844
2016-11-16,30.850025177001953,76.20651245117188
2016-11-17,30.745349884033203,76.13904571533203
2016-11-18,30.588335037231445,75.90680694580078
2016-11-21,30.924806594848633,76.61856842041016
2016-11-22,30.932273864746094,77.09062957763672
2016-11-23,30.745349884033203,76.07164001464844
2016-11-25,31.051912307739258,76.5511474609375
2016-11-28,31.21639633178711,77.01567077636719
2016-11-29,31.02790641784668,76.82838439941406
2016-11-30,30.424680709838867,75.55501556396484
2016-12-01,30.288957595825195,74.74739837646484
2016-12-02,30.432220458984375,75.93242645263672
2016-12-05,30.62826919555664,76.01546478271484
2016-12-06,30.590559005737305,76.64949035644531
2016-12-07,31.133466720581055,77.60052490234375
2016-12-08,30.899709701538086,77.10237121582031
2016-12-09,31.66881561279297,78.17418670654297
2016-12-12,31.593414306640625,79.04219818115234
2016-12-13,31.487834930419922,79.72905731201172
2016-12-14,31.073139190673828,78.85347747802734
2016-12-15,31.329500198364258,79.47997283935547
2016-12-16,31.47277069091797,79.91020965576172
2016-12-19,31.41998291015625,79.56300354003906
2016-12-20,31.412450790405273,79.17805480957031
2016-12-21,31.34457778930664,79.027099609375
2016-12-22,31.329500198364258,79.51773834228516
2016-12-23,31.367210388183594,79.32147979736328
2016-12-27,31.37474822998047,79.3516616821289
2016-12-28,31.208860397338867,78.96672058105469
2016-12-29,31.367210388183594,79.24600982666016
2016-12-30,31.26164436340332,78.97422790527344
2017-01-03,31.51801109313965,78.9893569946289
2017-01-04,31.404909133911133,79.14033508300781
2017-01-05,31.480302810668945,79.03465270996094
2017-01-06,31.47277069091797,78.9214096069336
2017-01-09,31.156084060668945,78.09114074707031
2017-01-10,30.94496726989746,76.96649932861328
2017-01-11,30.95249366760254,76.84573364257812
2017-01-12,30.877103805541992,76.8683853149414
