Date,US,EU,INDIA,JAPAN,VIX
2016-03-14,2019.6400146484375,3091.97998046875,7538.75,17233.75,16.920000076293945
2016-03-15,2015.9300537109375,3067.2099609375,7460.60009765625,17117.0703125,16.84000015258789
2016-03-16,2027.219970703125,3062.050048828125,7498.75,16974.44921875,14.989999771118164
2016-03-17,2040.5899658203125,3043.10009765625,7512.5498046875,16936.380859375,14.4399995803833
2016-03-18,2049.580078125,3059.77001953125,7604.35009765625,16724.810546875,14.020000457763672
2016-03-22,2049.800048828125,3051.22998046875,7714.89990234375,17048.55078125,14.170000076293945
2016-03-23,2036.7099609375,3042.419921875,7716.5,17000.98046875,14.9399995803833
2016-03-29,2055.010009765625,3004.8701171875,7597.0,17103.529296875,13.819999694824219
2016-03-30,2063.949951171875,3044.10009765625,7735.2001953125,16878.9609375,13.5600004196167
2016-03-31,2059.739990234375,3004.929931640625,7738.39990234375,16758.669921875,13.949999809265137
2016-04-01,2072.780029296875,2953.280029296875,7713.0498046875,16164.16015625,13.100000381469727
2016-04-04,2066.1298828125,2962.280029296875,7758.7998046875,16123.26953125,14.119999885559082
2016-04-05,2045.1700439453125,2890.35009765625,7603.2001953125,15732.8203125,15.420000076293945
2016-04-06,2066.659912109375,2909.360107421875,7614.35009765625,15715.3603515625,14.09000015258789
2016-04-07,2041.9100341796875,2871.570068359375,7546.4501953125,15749.83984375,16.15999984741211
2016-04-08,2047.5999755859375,2911.97998046875,7555.2001953125,15821.51953125,15.359999656677246
2016-04-11,2041.989990234375,2924.22998046875,7671.39990234375,15751.1298828125,16.260000228881836
2016-04-12,2061.719970703125,2942.090087890625,7708.9501953125,15928.7900390625,14.850000381469727
2016-04-13,2082.419921875,3039.18994140625,7850.4501953125,16381.2197265625,13.84000015258789
2016-04-18,2094.340087890625,3064.030029296875,7914.7001953125,16275.9501953125,13.350000381469727
2016-04-20,2102.39990234375,3142.52001953125,7914.75,16906.5390625,13.279999732971191
2016-04-21,2091.47998046875,3151.68994140625,7912.0498046875,17363.619140625,13.949999809265137
2016-04-22,2091.580078125,3141.1201171875,7899.2998046875,17572.490234375,13.220000267028809
2016-04-25,2087.7900390625,3117.6201171875,7855.0498046875,17439.30078125,14.079999923706055
2016-04-26,2091.699951171875,3121.2900390625,7962.64990234375,17353.279296875,13.960000038146973
2016-04-27,2095.14990234375,3130.429931640625,7979.89990234375,17290.490234375,13.770000457763672
2016-04-28,2075.81005859375,3125.429931640625,7847.25,16666.05078125,15.220000267028809
2016-05-02,2081.429931640625,3032.60009765625,7805.89990234375,16147.3798828125,14.680000305175781
2016-05-06,2057.139892578125,2936.840087890625,7733.4501953125,16106.7197265625,14.720000267028809
2016-05-09,2058.68994140625,2955.830078125,7866.0498046875,16216.0302734375,14.569999694824219
2016-05-10,2084.389892578125,2978.969970703125,7887.7998046875,16565.189453125,13.630000114440918
2016-05-11,2064.4599609375,2956.7099609375,7848.85009765625,16579.009765625,14.6899995803833
2016-05-12,2064.110107421875,2935.4599609375,7900.39990234375,16646.33984375,14.40999984741211
2016-05-13,2046.6099853515625,2956.6298828125,7814.89990234375,16412.2109375,15.039999961853027
2016-05-17,2047.2099609375,2938.090087890625,7890.75,16652.80078125,15.569999694824219
2016-05-18,2047.6300048828125,2956.429931640625,7870.14990234375,16644.689453125,15.949999809265137
2016-05-19,2040.0400390625,2919.219970703125,7783.39990234375,16646.66015625,16.329999923706055
2016-05-20,2052.320068359375,2962.159912109375,7749.7001953125,16736.349609375,15.199999809265137
2016-05-23,2048.0400390625,2932.929931640625,7731.0498046875,16654.599609375,15.819999694824219
2016-05-24,2076.06005859375,3010.1201171875,7748.85009765625,16498.759765625,14.420000076293945
2016-05-25,2090.5400390625,3061.60009765625,7934.89990234375,16757.349609375,13.899999618530273
2016-05-26,2090.10009765625,3071.2099609375,8069.64990234375,16772.4609375,13.430000305175781
2016-05-27,2099.06005859375,3078.47998046875,8156.64990234375,16834.83984375,13.119999885559082
2016-05-31,2096.949951171875,3063.47998046875,8160.10009765625,17234.98046875,14.1899995803833
2016-06-01,2099.330078125,3038.77001953125,8179.9501953125,16955.73046875,14.199999809265137
2016-06-02,2105.260009765625,3033.860107421875,8218.9501953125,16562.55078125,13.630000114440918
